Series_Title,Released_Year,Runtime,Genre,IMDB_Rating,Director,Star1,No_of_Votes,Gross,Metascore
Akira,1988,124,Animation,8,Katsuhiro Ôtomo,Mitsuo Iwata,164918,553171,
Aladdin,1992,90,Animation,8,Ron Clements,John Musker,373845,217350219,86
Alien,1979,117,Horror,8.4,Ridley Scott,Sigourney Weaver,787806,78900000,89
Aliens,1986,137,Action,8.3,James Cameron,Sigourney Weaver,652719,85160248,84
All About Eve,1950,138,Drama,8.2,Joseph L. Mankiewicz,Bette Davis,120539,10177,98
All Quiet on the Western Front,1930,152,Drama,8,Lewis Milestone,Lew Ayres,57318,3270000,91
All That Jazz,1979,123,Drama,7.9,Bob Fosse,Roy Scheider,28223,37823676,72
All the President's Men,1976,138,Biography,7.9,Alan J. Pakula,Dustin Hoffman,103031,70600000,84
Almost Famous,2000,122,Adventure,7.9,Cameron Crowe,Billy Crudup,252586,32534850,90
Amélie,2001,122,Comedy,8.3,Jean-Pierre Jeunet,Audrey Tautou,703810,33225499,69
Amadeus,1984,160,Biography,8.3,Milos Forman,F. Murray Abraham,369007,51973029,88
Amarcord,1973,123,Comedy,7.9,Federico Fellini,Magali Noël,39897,882861253,
American Beauty,1999,122,Drama,8.3,Sam Mendes,Kevin Spacey,1069738,130096601,84
American Gangster,2007,157,Biography,7.8,Ridley Scott,Denzel Washington,392449,130164645,76
American History X,1998,119,Drama,8.5,Tony Kaye,Edward Norton,1034705,6719864,62
American Psycho,2000,101,Comedy,7.6,Mary Harron,Christian Bale,490062,15070285,64
Amores perros,2000,154,Drama,8.1,Alejandro G. Iñárritu,Emilio Echevarría,223741,5383834,83
Amour,2012,127,Drama,7.9,Michael Haneke,Jean-Louis Trintignant,93090,6739492,94
Anand,1971,122,Drama,8.4,Hrishikesh Mukherjee,Rajesh Khanna,30273,472504446,
Anatomy of a Murder,1959,161,Crime,8,Otto Preminger,James Stewart,59847,11900000,95
Andaz Apna Apna,1994,160,Action,8.2,Rajkumar Santoshi,Aamir Khan,49300,213351844,
Andhadhun,2018,139,Crime,8.3,Sriram Raghavan,Ayushmann Khurrana,71875,1373943,
Andrei Rublev,1966,205,Biography,8.1,Andrei Tarkovsky,Anatoliy Solonitsyn,46947,102021,
Ang-ma-reul bo-at-da,2010,144,Action,7.8,Jee-woon Kim,Lee Byung-Hun,111252,128392,67
Annie Hall,1977,93,Comedy,8,Woody Allen,Woody Allen,251823,39200000,92
Apocalypse Now,1979,147,Drama,8.4,Francis Ford Coppola,Martin Sheen,606398,83471511,94
Apocalypto,2006,139,Action,7.8,Mel Gibson,Gerardo Taracena,291018,50866635,68
Apollo 13,PG,140,Adventure,7.6,Ron Howard,Tom Hanks,269197,173837933,77
Argo,2012,120,Biography,7.7,Ben Affleck,Ben Affleck,572581,136025503,86
Arrival,2016,116,Drama,7.9,Denis Villeneuve,Amy Adams,594181,100546139,81
Arsenic and Old Lace,1942,118,Comedy,8,Frank Capra,Cary Grant,65101,460853100,
As Good as It Gets,1997,139,Comedy,7.7,James L. Brooks,Jack Nicholson,275755,148478011,67
Atonement,2007,123,Drama,7.8,Joe Wright,Keira Knightley,251370,50927067,85
Au revoir les enfants,1987,104,Drama,8,Louis Malle,Gaspard Manesse,31163,4542825,88
Auf der anderen Seite,2007,122,Drama,7.8,Fatih Akin,Baki Davrak,30827,741283,85
Avatar,2009,162,Action,7.8,James Cameron,Sam Worthington,1118998,760507625,83
Avengers: Endgame,2019,181,Action,8.4,Anthony Russo,Joe Russo,809955,858373000,78
Avengers: Infinity War,2018,149,Action,8.4,Anthony Russo,Joe Russo,834477,678815482,68
Awakenings,1990,121,Biography,7.8,Penny Marshall,Robert De Niro,125276,52096475,74
Ayla: The Daughter of War,2017,125,Biography,8.4,Can Ulkay,Erdem Can,34112,679278040,
Ba wang bie ji,1993,171,Drama,8.1,Kaige Chen,Leslie Cheung,25088,5216888,
Bãhubali: The Beginning,2015,159,Action,8,S.S. Rajamouli,Prabhas,102972,6738000,
Baahubali 2: The Conclusion,2017,167,Action,8.2,S.S. Rajamouli,Prabhas,75348,20186659,
Babam ve Oglum,2005,112,Drama,8.3,Çagan Irmak,Çetin Tekindor,78925,461855363,
Baby,2015,159,Action,8,Neeraj Pandey,Akshay Kumar,52848,223025817,
Baby Driver,2017,113,Action,7.6,Edgar Wright,Ansel Elgort,439406,107825862,86
Bacheha-Ye aseman,1997,89,Drama,8.3,Majid Majidi,Mohammad Amir Naji,65341,933933,77
Back to the Future,1985,116,Adventure,8.5,Robert Zemeckis,Michael J. Fox,1058081,210609762,87
Back to the Future Part II,1989,108,Adventure,7.8,Robert Zemeckis,Michael J. Fox,481918,118500000,57
Badhaai ho,2018,124,Comedy,8,Amit Ravindernath Sharma,Ayushmann Khurrana,27978,28738362,
Badlands,1973,94,Action,7.8,Terrence Malick,Martin Sheen,66009,88117434,93
Bajrangi Bhaijaan,2015,163,Action,8,Kabir Khan,Salman Khan,72245,8178001,
Barfi!,2012,151,Comedy,8.1,Anurag Basu,Ranbir Kapoor,75721,2804874,
Barry Lyndon,1975,185,Adventure,8.1,Stanley Kubrick,Ryan O'Neal,149843,36008144,89
Barton Fink,1991,116,Comedy,7.7,Joel Coen,Ethan Coen,113240,6153939,69
Batman Begins,2005,140,Action,8.2,Christopher Nolan,Christian Bale,1308302,206852432,70
Batman: Mask of the Phantasm,1993,76,Animation,7.8,Kevin Altieri,Boyd Kirkland,43690,5617391,
Batoru rowaiaru,2000,114,Action,7.6,Kinji Fukasaku,Tatsuya Fujiwara,169091,195856489,81
Beasts of No Nation,2015,137,Drama,7.7,Cary Joji Fukunaga,Abraham Attah,73964,83861,79
Beauty and the Beast,1991,84,Animation,8,Gary Trousdale,Kirk Wise,417178,218967620,95
Before Midnight,2013,109,Drama,7.9,Richard Linklater,Ethan Hawke,141457,8114627,94
Before Sunrise,1995,101,Drama,8.1,Richard Linklater,Ethan Hawke,272291,5535405,77
Before Sunset,2004,80,Drama,8.1,Richard Linklater,Ethan Hawke,236311,5820649,90
Being John Malkovich,1999,113,Comedy,7.7,Spike Jonze,John Cusack,312542,22858926,90
Being There,1979,130,Comedy,8,Hal Ashby,Peter Sellers,65625,30177511,83
Belle de jour,1967,100,Drama,7.7,Luis Buñuel,Catherine Deneuve,40274,26331,
Ben-Hur,1959,212,Adventure,8.1,William Wyler,Charlton Heston,219466,74700000,90
Bhaag Milkha Bhaag,2013,186,Biography,8.2,Rakeysh Omprakash Mehra,Farhan Akhtar,61137,1626289,
Big Fish,2003,125,Adventure,8,Tim Burton,Ewan McGregor,415218,66257002,58
Big Hero 6,2014,102,Animation,7.8,Don Hall,Chris Williams,410983,222527828,74
Billy Elliot,2000,110,Drama,7.7,Stephen Daldry,Jamie Bell,126770,21995263,74
Bin-jip,2004,88,Crime,8,Ki-duk Kim,Seung-Yun Lee,50610,238507,72
Bir Zamanlar Anadolu'da,2011,157,Crime,7.9,Nuri Bilge Ceylan,Muhammet Uzuner,41995,138730,82
Birdman or (The Unexpected Virtue of Ignorance),2014,119,Comedy,7.7,Alejandro G. Iñárritu,Michael Keaton,580291,42340598,87
Black,2005,122,Drama,8.2,Sanjay Leela Bhansali,Amitabh Bachchan,33354,733094,
Black Hawk Down,2001,144,Drama,7.7,Ridley Scott,Josh Hartnett,364254,108638745,74
Black Swan,2010,108,Drama,8,Darren Aronofsky,Natalie Portman,699673,106954678,79
Blade Runner,1982,117,Action,8.1,Ridley Scott,Harrison Ford,693827,32868943,84
Blade Runner 2049,2017,164,Action,8,Denis Villeneuve,Harrison Ford,461823,92054159,81
Blazing Saddles,1974,93,Comedy,7.7,Mel Brooks,Cleavon Little,125993,119500000,73
Blood Diamond,2006,143,Adventure,8,Edward Zwick,Leonardo DiCaprio,499439,57366262,64
Blood Simple,1984,99,Crime,7.6,Joel Coen,Ethan Coen,87745,2150000,82
Blow,2001,124,Biography,7.6,Ted Demme,Johnny Depp,240714,52990775,52
Blowup,1966,111,Drama,7.6,Michelangelo Antonioni,David Hemmings,56513,632532802,82
Blue Velvet,1986,120,Drama,7.7,David Lynch,Isabella Rossellini,181285,8551228,76
Bohemian Rhapsody,2018,134,Biography,8,Bryan Singer,Rami Malek,450349,216428042,49
Boksuneun naui geot,2002,129,Crime,7.6,Chan-wook Park,Kang-ho Song,62659,45289,56
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,2003,103,Drama,8,Ki-duk Kim,Ki-duk Kim,77520,2380788,85
Bonnie and Clyde,1967,111,Action,7.8,Arthur Penn,Warren Beatty,102415,909838190,86
Boogie Nights,1997,155,Drama,7.9,Paul Thomas Anderson,Mark Wahlberg,239473,26400640,85
Bound by Honor,1993,180,Crime,8,Taylor Hackford,Damian Chapa,28825,4496583,47
Boyhood,2014,165,Drama,7.9,Richard Linklater,Ellar Coltrane,335533,25379975,100
Boyz n the Hood,1991,112,Crime,7.8,John Singleton,Cuba Gooding Jr.,126082,57504069,76
Braveheart,1995,178,Biography,8.3,Mel Gibson,Mel Gibson,959181,75600000,68
Brazil,1985,132,Drama,7.9,Terry Gilliam,Jonathan Pryce,187567,9929135,84
Breakfast at Tiffany's,1961,115,Comedy,7.6,Blake Edwards,Audrey Hepburn,166544,679874270,76
Breaking the Waves,1996,159,Drama,7.8,Lars von Trier,Emily Watson,62428,4040691,76
Bride of Frankenstein,1935,75,Drama,7.8,James Whale,Boris Karloff,43542,4360000,95
Bridge of Spies,2015,142,Drama,7.6,Steven Spielberg,Tom Hanks,287659,72313754,81
Brief Encounter,1945,86,Drama,8,David Lean,Celia Johnson,35601,484221008,92
Bringing Up Baby,1938,102,Comedy,7.8,Howard Hawks,Katharine Hepburn,55163,152238346,91
Brokeback Mountain,2005,134,Drama,7.7,Ang Lee,Jake Gyllenhaal,323103,83043761,87
Bronenosets Potemkin,1925,75,Drama,8,Sergei M. Eisenstein,Aleksandr Antonov,53054,50970,97
Butch Cassidy and the Sundance Kid,1969,110,Biography,8,George Roy Hill,Paul Newman,201888,102308889,66
C.R.A.Z.Y.,2005,129,Comedy,7.9,Jean-Marc Vallée,Michel Côté,31476,527282774,81
Cabaret,1972,124,Drama,7.8,Bob Fosse,Liza Minnelli,48334,42765000,80
Call Me by Your Name,2017,132,Drama,7.9,Luca Guadagnino,Armie Hammer,212651,18095701,93
Cape Fear,1962,106,Drama,7.7,J. Lee Thompson,Gregory Peck,26457,863391987,76
Capharnaüm,2018,126,Drama,8.4,Nadine Labaki,Zain Al Rafeea,62635,1661096,75
Captain America: Civil War,2016,147,Action,7.8,Anthony Russo,Joe Russo,663649,408084349,75
Captain America: The Winter Soldier,2014,136,Action,7.7,Anthony Russo,Joe Russo,736182,259766572,70
Captain Fantastic,2016,118,Comedy,7.9,Matt Ross,Viggo Mortensen,189400,5875006,72
Captain Phillips,2013,134,Adventure,7.8,Paul Greengrass,Tom Hanks,421244,107100855,82
Carlito's Way,1993,144,Crime,7.9,Brian De Palma,Al Pacino,201000,36948322,65
Casablanca,1942,102,Drama,8.5,Michael Curtiz,Humphrey Bogart,522093,1024560,100
Casino,1995,178,Crime,8.2,Martin Scorsese,Robert De Niro,466276,42438300,73
Casino Royale,2006,144,Action,8,Martin Campbell,Daniel Craig,582239,167445960,80
Cast Away,2000,143,Adventure,7.8,Robert Zemeckis,Tom Hanks,524235,233632142,73
Cat on a Hot Tin Roof,1958,108,Drama,8,Richard Brooks,Elizabeth Taylor,45062,17570324,84
Catch Me If You Can,2002,141,Biography,8.1,Steven Spielberg,Leonardo DiCaprio,832846,164615351,75
Celda 211,2009,113,Action,7.6,Daniel Monzón,Luis Tosar,63882,242105549,
Central do Brasil,1998,110,Drama,8,Walter Salles,Fernanda Montenegro,36419,5595428,80
Chak De! India,2007,153,Drama,8.2,Shimit Amin,Shah Rukh Khan,74129,1113541,68
Changeling,2008,141,Biography,7.7,Clint Eastwood,Angelina Jolie,239203,35739802,63
Charade,1963,113,Comedy,7.9,Stanley Donen,Cary Grant,68689,13474588,83
Chhichhore,2019,143,Comedy,8.2,Nitesh Tiwari,Sushant Singh Rajput,33893,898575,
Children of Men,2006,109,Adventure,7.9,Alfonso Cuarón,Julianne Moore,465113,35552383,84
Chinatown,1974,130,Drama,8.1,Roman Polanski,Jack Nicholson,294230,29000000,92
Chugyeokja,2008,125,Action,7.8,Hong-jin Na,Kim Yoon-seok,58468,369366051,64
Chung Hing sam lam,1994,102,Comedy,8.1,Kar-Wai Wong,Brigitte Lin,63122,600200,77
Cidade de Deus,2002,130,Crime,8.6,Fernando Meirelles,Kátia Lund,699256,7563397,79
Cinderella Man,2005,144,Biography,8,Ron Howard,Russell Crowe,176151,61649911,69
Citizen Kane,1941,119,Drama,8.3,Orson Welles,Orson Welles,403351,1585634,100
City Lights,1931,87,Comedy,8.5,Charles Chaplin,Charles Chaplin,167839,19181,99
Clerks,1994,92,Comedy,7.7,Kevin Smith,Brian O'Halloran,211450,3151130,70
Close Encounters of the Third Kind,1977,138,Drama,7.6,Steven Spielberg,Richard Dreyfuss,184966,132088635,90
Coco,2017,105,Animation,8.4,Lee Unkrich,Adrian Molina,384171,209726015,81
Contratiempo,2016,106,Crime,8.1,Oriol Paulo,Mario Casas,141516,29756639,
Control,2007,122,Biography,7.7,Anton Corbijn,Sam Riley,61609,871577,78
Cool Hand Luke,1967,127,Crime,8.1,Stuart Rosenberg,Paul Newman,161984,16217773,92
Coraline,2009,100,Animation,7.7,Henry Selick,Dakota Fanning,197761,75286229,80
Cowboy Bebop: Tengoku no tobira,2001,115,Animation,7.9,Shin'ichirô Watanabe,Tensai Okamura,42897,1000045,61
Crash,2004,112,Crime,7.7,Paul Haggis,Don Cheadle,419483,54580300,66
Creed,2015,133,Drama,7.6,Ryan Coogler,Michael B. Jordan,247666,109767581,82
Crimes and Misdemeanors,1989,104,Comedy,7.9,Woody Allen,Martin Landau,54670,18254702,77
"Crna macka, beli macor",1998,127,Comedy,8.1,Emir Kusturica,Bajram Severdzan,50862,348660,73
Dà hóng denglong gaogao guà,1991,125,Drama,8.1,Yimou Zhang,Gong Li,29662,2603061,
Dallas Buyers Club,2013,117,Biography,8,Jean-Marc Vallée,Matthew McConaughey,441614,27298285,80
Dancer in the Dark,2000,140,Crime,8,Lars von Trier,Björk,102285,4184036,61
Dances with Wolves,1990,181,Adventure,8,Kevin Costner,Kevin Costner,240266,184208848,72
Dangal,2016,161,Action,8.4,Nitesh Tiwari,Aamir Khan,156479,12391761,
Darbareye Elly,2009,119,Drama,8,Asghar Farhadi,Golshifteh Farahani,45803,106662,87
Dark City,1998,100,Mystery,7.6,Alex Proyas,Rufus Sewell,187927,14378331,66
Dark Waters,2019,126,Biography,7.6,Todd Haynes,Mark Ruffalo,60408,428167124,73
Das Boot,1981,149,Adventure,8.3,Wolfgang Petersen,Jürgen Prochnow,231855,11487676,86
Das Cabinet des Dr. Caligari,1920,76,Fantasy,8.1,Robert Wiene,Werner Krauss,57428,337574718,
Das Experiment,2001,120,Drama,7.7,Oliver Hirschbiegel,Moritz Bleibtreu,90842,141072,60
Das weiße Band - Eine deutsche Kindergeschichte,2009,144,Drama,7.8,Michael Haneke,Christian Friedel,68715,2222647,82
Dawn of the Dead,1978,127,Action,7.9,George A. Romero,David Emge,111512,5100000,71
Dawn of the Planet of the Apes,2014,130,Action,7.6,Matt Reeves,Gary Oldman,411599,208545589,79
Days of Heaven,1978,94,Drama,7.8,Terrence Malick,Richard Gere,52852,116446147,93
Dazed and Confused,1993,102,Comedy,7.6,Richard Linklater,Jason London,165465,7993039,78
Dead Man,1995,121,Adventure,7.6,Jim Jarmusch,Johnny Depp,90442,1037847,62
Dead Man's Shoes,2004,90,Crime,7.6,Shane Meadows,Paddy Considine,49728,6013,52
Dead Poets Society,1989,128,Comedy,8.1,Peter Weir,Robin Williams,425457,95860116,79
Deadpool,2016,108,Action,8,Tim Miller,Ryan Reynolds,902669,363070709,65
Deadpool 2,2018,119,Action,7.7,David Leitch,Ryan Reynolds,478586,324591735,66
Death Note: Desu nôto,2006,126,Crime,7.7,Shûsuke Kaneko,Tatsuya Fujiwara,28630,207139906,
Delicatessen,1991,99,Comedy,7.6,Marc Caro,Jean-Pierre Jeunet,80487,1794187,66
Deliverance,1972,109,Adventure,7.7,John Boorman,Jon Voight,98740,7056013,80
Der Himmel über Berlin,1987,128,Drama,8,Wim Wenders,Bruno Ganz,64722,3333969,79
Der Name der Rose,1986,130,Crime,7.7,Jean-Jacques Annaud,Sean Connery,102031,7153487,54
Der Untergang,2004,156,Biography,8.2,Oliver Hirschbiegel,Bruno Ganz,331308,5509040,82
Despicable Me,2010,95,Animation,7.6,Pierre Coffin,Chris Renaud,500851,251513985,72
Det sjunde inseglet,1957,96,Drama,8.2,Ingmar Bergman,Max von Sydow,164939,805742063,88
Detachment,2011,98,Drama,7.7,Tony Kaye,Adrien Brody,77071,71177,52
Dev.D,2009,144,Drama,8,Anurag Kashyap,Abhay Deol,28749,10950,
Dial M for Murder,1954,105,Crime,8.2,Alfred Hitchcock,Ray Milland,158335,12562,75
Diarios de motocicleta,2004,126,Adventure,7.8,Walter Salles,Gael García Bernal,96703,16756372,75
Die Hard,1988,132,Action,8.2,John McTiernan,Bruce Willis,793164,83008852,72
Die Hard: With a Vengeance,1995,128,Action,7.6,John McTiernan,Bruce Willis,364420,100012499,58
Die Welle,2008,107,Drama,7.6,Dennis Gansel,Jürgen Vogel,102742,924558264,
Dil Bechara,2020,101,Comedy,7.9,Mukesh Chhabra,Sushant Singh Rajput,111478,228629261,
Dil Chahta Hai,2001,183,Comedy,8.1,Farhan Akhtar,Aamir Khan,66803,300000,
Dilwale Dulhania Le Jayenge,1995,189,Drama,8.1,Aditya Chopra,Shah Rukh Khan,63516,15121644,
Dip huet seung hung,1989,111,Action,7.8,John Woo,Yun-Fat Chow,45624,549325150,82
Dirty Harry,1971,102,Action,7.7,Don Siegel,Clint Eastwood,143292,35900000,90
District 9,2009,112,Action,7.9,Neill Blomkamp,Sharlto Copley,638202,115646235,81
Django Unchained,2012,165,Drama,8.4,Quentin Tarantino,Jamie Foxx,1357682,162805434,81
Do lok tin si,1995,99,Comedy,7.7,Kar-Wai Wong,Leon Lai,26429,182928453,71
Do the Right Thing,1989,120,Comedy,8,Spike Lee,Danny Aiello,89429,27545445,93
Doctor Zhivago,1965,197,Drama,8,David Lean,Omar Sharif,69903,111722000,69
Dog Day Afternoon,1975,125,Biography,8,Sidney Lumet,Al Pacino,235652,50000000,86
Dogville,2003,178,Crime,8,Lars von Trier,Nicole Kidman,137963,1530386,60
Dom za vesanje,1988,142,Comedy,8.2,Emir Kusturica,Davor Dujmovic,26402,280015,
Donnie Brasco,1997,127,Biography,7.7,Mike Newell,Al Pacino,279318,41909762,76
Donnie Darko,2001,113,Drama,8,Richard Kelly,Jake Gyllenhaal,740086,1480006,88
Double Indemnity,1944,107,Crime,8.3,Billy Wilder,Fred MacMurray,143525,5720000,95
Down by Law,1986,107,Comedy,7.8,Jim Jarmusch,Tom Waits,47834,1436000,75
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,Comedy,8.4,Stanley Kubrick,Peter Sellers,450474,275902,97
Drishyam,2015,163,Crime,8.2,Nishikant Kamat,Ajay Devgn,70367,739478,
Drishyam,2013,160,Crime,8.3,Jeethu Joseph,Mohanlal,30722,11339376,
Drive,2011,100,Crime,7.8,Nicolas Winding Refn,Ryan Gosling,571571,35061555,78
Druk,2020,117,Comedy,7.8,Thomas Vinterberg,Mads Mikkelsen,33931,349916480,81
Du rififi chez les hommes,1955,118,Crime,8.2,Jules Dassin,Jean Servais,28810,57226,97
Duck Soup,1933,69,Comedy,7.8,Leo McCarey,Groucho Marx,55581,350197185,93
Dunkirk,2017,106,Action,7.8,Christopher Nolan,Fionn Whitehead,555092,188373161,94
E.T. the Extra-Terrestrial,1982,115,Family,7.8,Steven Spielberg,Henry Thomas,372490,435110554,91
East of Eden,1955,118,Drama,7.9,Elia Kazan,James Dean,40313,473570909,72
Eastern Promises,2007,100,Action,7.6,David Cronenberg,Naomi Watts,227760,17114882,82
Ed Wood,1994,127,Biography,7.8,Tim Burton,Johnny Depp,164937,5887457,70
Edge of Tomorrow,2014,113,Action,7.9,Doug Liman,Tom Cruise,600004,100206256,71
Edward Scissorhands,1990,105,Drama,7.9,Tim Burton,Johnny Depp,447368,56362352,74
Efter brylluppet,2006,120,Drama,7.7,Susanne Bier,Mads Mikkelsen,32001,412544,78
El ángel exterminador,1962,95,Drama,8.1,Luis Buñuel,Silvia Pinal,29682,345262196,
El cuerpo,2012,112,Mystery,7.6,Oriol Paulo,Jose Coronado,57549,140340673,
El secreto de sus ojos,2009,129,Drama,8.2,Juan José Campanella,Ricardo Darín,193217,6391436,80
Empire of the Sun,1987,153,Action,7.7,Steven Spielberg,Christian Bale,115677,22238696,62
En man som heter Ove,2015,116,Comedy,7.7,Hannes Holm,Rolf Lassgård,47444,3358518,70
End of Watch,2012,109,Action,7.6,David Ayer,Jake Gyllenhaal,228132,41003371,68
Enemy at the Gates,2001,131,Drama,7.6,Jean-Jacques Annaud,Jude Law,243729,51401758,53
English Vinglish,2012,134,Comedy,7.8,Gauri Shinde,Sridevi,33618,1670773,
Enter the Dragon,1973,102,Action,7.7,Robert Clouse,Bruce Lee,96561,25000000,83
Escape from Alcatraz,1979,112,Action,7.6,Don Siegel,Clint Eastwood,121731,43000000,76
Eskiya,1996,128,Crime,8.2,Yavuz Turgul,Sener Sen,64118,764480450,
Eternal Sunshine of the Spotless Mind,2004,108,Drama,8.3,Michel Gondry,Jim Carrey,911664,34400301,89
Evil Dead II,1987,84,Action,7.8,Sam Raimi,Bruce Campbell,148359,5923044,72
Ex Machina,2014,108,Drama,7.7,Alex Garland,Alicia Vikander,474141,25442958,78
Fa yeung nin wah,2000,98,Drama,8.1,Kar-Wai Wong,Tony Chiu-Wai Leung,124383,2734044,85
Falling Down,1993,113,Action,7.6,Joel Schumacher,Michael Douglas,171640,40903593,56
Fanny och Alexander,1982,188,Drama,8.1,Ingmar Bergman,Bertil Guve,57784,4971340,100
Fantasia,1940,125,Animation,7.7,James Algar,Samuel Armstrong,88662,76408097,96
Fantastic Mr. Fox,2009,87,Animation,7.9,Wes Anderson,George Clooney,199696,21002919,83
Fargo,1996,98,Crime,8.1,Joel Coen,Ethan Coen,617444,24611975,85
Fear and Loathing in Las Vegas,1998,118,Adventure,7.6,Terry Gilliam,Johnny Depp,259753,10680275,41
Ferris Bueller's Day Off,1986,103,Comedy,7.8,John Hughes,Matthew Broderick,321382,70136369,61
Festen,1998,105,Drama,8,Thomas Vinterberg,Ulrich Thomsen,78341,1647780,82
Fiddler on the Roof,1971,181,Drama,8,Norman Jewison,Topol,39491,80500000,67
Fight Club,1999,139,Drama,8.8,David Fincher,Brad Pitt,1854740,37030102,66
Finding Nemo,2003,100,Animation,8.1,Andrew Stanton,Lee Unkrich,949565,380843261,90
Finding Neverland,2004,106,Biography,7.6,Marc Forster,Johnny Depp,198677,51680613,67
First Blood,1982,93,Action,7.7,Ted Kotcheff,Sylvester Stallone,226541,47212904,61
Fitzcarraldo,1982,158,Adventure,8.1,Werner Herzog,Klaus Kinski,31595,616558047,
Flipped,2010,90,Comedy,7.7,Rob Reiner,Madeline Carroll,81446,1752214,45
Ford v Ferrari,2019,152,Action,8.1,James Mangold,Matt Damon,291289,117624028,81
Forrest Gump,1994,142,Drama,8.8,Robert Zemeckis,Tom Hanks,1809221,330252182,82
Forushande,2016,124,Drama,7.8,Asghar Farhadi,Shahab Hosseini,51240,2402067,85
Frankenstein,1931,70,Drama,7.8,James Whale,Colin Clive,65341,63617892,91
Freaks,1932,64,Drama,7.9,Tod Browning,Wallace Ford,42117,355665088,80
Fried Green Tomatoes,1991,130,Drama,7.7,Jon Avnet,Kathy Bates,66941,82418501,64
From Here to Eternity,1953,118,Drama,7.6,Fred Zinnemann,Burt Lancaster,43374,30500000,85
